timestamp,monotonic_s,event,flight_state,motor_enabled,motor_ctrl_mode,control_mode,output_valid,l1_valid,l1_nominal,l1_reason,dr_method,confidence_scale,pid_enabled,yaw_rate_limit_dps,pos_N,pos_E,target_N,target_E,dist_to_target_m,bearing_to_target_deg,crosstrack_angle_deg,ground_speed_mps,left_pw,right_pw,left_angle_deg,right_angle_deg,delta_ff_deg,delta_pid_deg,delta_arm_deg,angular_velocity_cmd_deg_s,angular_velocity_meas_deg_s,angular_velocity_error_deg_s,motor_cmd,saturated,sensor_valid,gyro_rejected,gps_lat,gps_lon,gps_course_deg,gps_speed_mps,gps_pos_health,gps_motion_health,gps_pos_age_s,gps_motion_age_s,imu_roll_deg,imu_pitch_deg,imu_yaw_deg,imu_gyrz_deg_s,imu_health,imu_age_s,lin_acc_x_mps2,lin_acc_y_mps2,lin_acc_z_mps2,lin_acc_valid,lin_acc_reject_reason,raw_acc_norm_mps2,gravity_body_x_mps2,gravity_body_y_mps2,gravity_body_z_mps2,lin_acc_xy_mag_mps2,imu_sample_age_s,baro_alt_m,baro_sink_rate_mps,baro_health,baro_age_s,target_lat,target_lon,mode_reason,l1input_valid,l1input_reason,l1output_valid,l1output_reason,ctrl_valid,ctrl_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,dr_anchor_valid,dr_current_valid,dr_confidence,dr_age_s,nav_E,nav_N,nav_V,nav_course_deg,nav_vE,nav_vN,dr_current_E,dr_current_N,dr_current_V,dr_current_course_deg,yaw_rate_cmd_dps,kp_used,ff_scale,d_total,nu_clamped_deg,sin_nu_eff,yaw_rate_cmd_pre_conf_dps,course_gyro_deg,course_yaw_deg,course_selected_deg,course_source_reason,ff_deadband_dps,ff_ref_dps,dr_pid_active,delta_ff_pre_cap_deg
2026-06-06T05:09:55.172,148712.9010442,GPS_TRACKING_CLOSED,4,1,GPS_GUIDED,ControlMode.GPS_TRACKING_CLOSED,1,1,1,GPS_NAV,DRMethod.NONE,1.0,1,59.99999999999999,0.0,0.0,500.6737267703339,-0.019353308131932315,500.6737271443804,-0.002214741488795387,-0.002214741488795387,8.0,1591.0,1524.0,80.0,80.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0,1,0,38.371514,-79.607872,0.0,8.0,1,1,0.0011649999942164868,0.0011649999942164868,0.0,0.0,0.0,-2.0,1,0.0011649999942164868,0.0,0.0,-19.62,1,OK,9.81,-0.0,0.0,9.81,0.0,0.0011649999942164868,150.0,-2.0,1,0.001075899985153228,38.376016667,-79.607872222,GPS_NAV,1,GPS_NAV,1,GPS_NAV,1,OK,1,1,1,1,1,1,1,1,1.0,-0.04887920001056045,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.53,1.0,0.0,-0.002214741488795387,0.0,0.0,nan,nan,nan,,5.0,59.99999999999999,0,0.0
2026-06-06T05:09:55.237,148712.9178938,MOTOR_DISABLED,3,0,GPS_GUIDED,ControlMode.FAIL,0,0,0,,,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2480.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0,0,38.371514,-79.607872,0.0,8.0,1,1,0.06692810001550242,0.06692810001550242,0.0,0.0,0.0,-2.0,1,0.06692810001550242,0.0,0.0,-19.62,1,OK,9.81,-0.0,0.0,9.81,0.0,0.06692810001550242,150.0,-2.0,1,0.06683900000643916,38.376016667,-79.607872222,GPS_NAV,0,,0,,0,INIT,1,1,1,1,1,1,1,1,1.0,0.016883900010725483,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,nan,0.0,1.0,0.0,nan,nan,nan,nan,nan,nan,,5.0,60.0,0,0.0
2026-06-06T05:09:55.281,148712.9615802,GPS_TRACKING_CLOSED,5,1,GPS_GUIDED,ControlMode.GPS_TRACKING_CLOSED,1,1,1,GPS_NAV,DRMethod.NONE,1.0,1,59.99999999999999,91348.18896747808,-18209679.55241289,91848.86269424843,-18209679.571983915,500.6737271528525,-0.002239656423712504,-0.002239656423712504,8.0,1591.0,1524.0,80.0,80.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0,1,0,38.371514,-79.607872,0.0,8.0,1,1,0.1109199000056833,0.1109199000056833,0.0,0.0,0.0,-2.0,1,0.1109199000056833,0.0,0.0,-19.62,1,OK,9.81,-0.0,0.0,9.81,0.0,0.1109199000056833,150.0,-2.0,1,0.11083079999662004,38.376016667,-79.607872222,GPS_NAV,1,GPS_NAV,1,GPS_NAV,1,OK,1,1,1,1,1,1,1,1,1.0,0.00033969999640248716,-18209679.55241289,91348.18896747808,8.0,0.0,0.0,8.0,-18209679.55241289,91348.18896747808,8.0,0.0,0.0,0.53,1.0,0.0,-0.002239656423712504,0.0,0.0,nan,nan,nan,,5.0,59.99999999999999,0,0.0
2026-06-06T05:09:55.294,148712.97580309998,STATE_BELOW_4,3,1,GPS_GUIDED,ControlMode.FAIL,0,0,0,,,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2480.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0,0,38.371514,-79.607872,0.0,8.0,1,1,0.12386369999148883,0.12386369999148883,nan,nan,nan,nan,0,148712.9748637,nan,nan,nan,0,,nan,nan,nan,nan,nan,148712.9748637,150.0,-2.0,1,0.12377459998242557,38.376016667,-79.607872222,GPS_NAV,0,,0,,0,INIT,1,1,1,1,1,1,1,1,1.0,0.013283499982208014,-18209679.55241289,91348.18896747808,8.0,0.0,0.0,8.0,-18209679.55241289,91348.18896747808,8.0,0.0,nan,0.0,1.0,0.0,nan,nan,nan,nan,nan,nan,,5.0,60.0,0,0.0
2026-06-06T05:09:55.301,148712.9828686,STATE_BELOW_4,3,1,GPS_GUIDED,ControlMode.FAIL,0,0,0,,,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2480.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0,0,38.371514,-79.607872,0.0,8.0,1,1,0.13092039999901317,0.13092039999901317,nan,nan,nan,nan,0,148712.9819204,nan,nan,nan,0,,nan,nan,nan,nan,nan,148712.9819204,150.0,-2.0,1,0.1308312999899499,38.376016667,-79.607872222,GPS_NAV,0,,0,,0,INIT,1,1,1,1,1,1,1,1,1.0,0.020340199989732355,-18209679.55241289,91348.18896747808,8.0,0.0,0.0,8.0,-18209679.55241289,91348.18896747808,8.0,0.0,nan,0.0,1.0,0.0,nan,nan,nan,nan,nan,nan,,5.0,60.0,0,0.0
