timestamp,monotonic_s,event,flight_state,motor_enabled,motor_ctrl_mode,control_mode,output_valid,l1_valid,l1_nominal,l1_reason,dr_method,confidence_scale,pid_enabled,yaw_rate_limit_dps,pos_N,pos_E,target_N,target_E,dist_to_target_m,bearing_to_target_deg,crosstrack_angle_deg,ground_speed_mps,left_pw,right_pw,left_angle_deg,right_angle_deg,delta_ff_deg,delta_pid_deg,delta_arm_deg,angular_velocity_cmd_deg_s,angular_velocity_meas_deg_s,angular_velocity_error_deg_s,motor_cmd,saturated,sensor_valid,gyro_rejected,gps_lat,gps_lon,gps_course_deg,gps_speed_mps,gps_pos_health,gps_motion_health,gps_pos_age_s,gps_motion_age_s,imu_roll_deg,imu_pitch_deg,imu_yaw_deg,imu_gyrz_deg_s,imu_health,imu_age_s,lin_acc_x_mps2,lin_acc_y_mps2,lin_acc_z_mps2,lin_acc_valid,lin_acc_reject_reason,raw_acc_norm_mps2,gravity_body_x_mps2,gravity_body_y_mps2,gravity_body_z_mps2,lin_acc_xy_mag_mps2,imu_sample_age_s,baro_alt_m,baro_sink_rate_mps,baro_health,baro_age_s,target_lat,target_lon,mode_reason,l1input_valid,l1input_reason,l1output_valid,l1output_reason,ctrl_valid,ctrl_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,dr_anchor_valid,dr_current_valid,dr_confidence,dr_age_s,nav_E,nav_N,nav_V,nav_course_deg,nav_vE,nav_vN,dr_current_E,dr_current_N,dr_current_V,dr_current_course_deg,yaw_rate_cmd_dps,kp_used,ff_scale,d_total
2026-06-05T08:41:56.294,75033.7612615,GPS_TRACKING_CLOSED,4,1,GPS_GUIDED,ControlMode.GPS_TRACKING_CLOSED,1,1,1,GPS_NAV,DRMethod.NONE,1.0,1,59.99999999999999,0.0,0.0,500.7107546804148,0.0,500.7107546804148,0.0,0.0,8.0,1591.0,1524.0,80.0,80.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0,1,0,38.371514,-79.607872,0.0,8.0,1,1,0.002099600009387359,0.002099600009387359,0.0,0.0,0.0,-2.0,1,0.002099600009387359,0.0,0.0,-19.62,1,OK,9.81,-0.0,0.0,9.81,0.0,0.002099600009387359,150.0,-2.0,1,0.002095300005748868,38.376017,-79.607872,GPS_NAV,1,GPS_NAV,1,GPS_NAV,1,OK,1,1,1,1,1,1,1,1,1.0,-0.047861899991403334,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.53,1.0,0.0
2026-06-05T08:41:56.379,75033.7978334,MOTOR_DISABLED,3,0,IMU_HEADING,ControlMode.FAIL,0,0,0,,,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2480.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0,0,38.371514,-79.607872,0.0,8.0,1,1,0.08656550000887364,0.08656550000887364,nan,nan,nan,nan,0,75033.7978655,nan,nan,nan,0,,nan,nan,nan,nan,nan,75033.7978655,200.0,75033.7821,1,0.015783100010594353,38.376017,-79.607872,FAIL,0,,0,,0,INIT,0,0,0,0,0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0
2026-06-05T08:41:56.395,75033.8147336,MANUAL_RIGHT,5,1,IMU_HEADING,ControlMode.FAIL,1,0,0,,,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1924.0,1858.0,50.0,110.0,60.0,0.0,60.0,0.0,nan,0.0,0.0,0,0,0,38.371514,-79.607872,0.0,8.0,1,1,0.10347529999853577,0.10347529999853577,nan,nan,nan,nan,0,75033.8147753,nan,nan,nan,0,,nan,nan,nan,nan,nan,75033.8147753,200.0,75033.7821,1,0.032692900000256486,38.376017,-79.607872,FAIL,0,,0,,1,INIT,0,0,0,0,0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0
2026-06-05T08:41:56.402,75033.82222880001,STATE_BELOW_4,3,1,IMU_HEADING,ControlMode.FAIL,0,0,0,,,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2480.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0,0,38.371514,-79.607872,0.0,8.0,1,1,0.1099823000113247,0.1099823000113247,nan,nan,nan,nan,0,75033.8212823,nan,nan,nan,0,,nan,nan,nan,nan,nan,75033.8212823,200.0,75033.7821,1,0.03919990001304541,38.376017,-79.607872,FAIL,0,,0,,0,INIT,0,0,0,0,0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0
2026-06-05T08:41:56.403,75033.8231904,STATE_BELOW_4,3,1,IMU_HEADING,ControlMode.FAIL,0,0,0,,,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2480.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0,0,38.371514,-79.607872,0.0,8.0,1,1,0.11093450000043958,0.11093450000043958,nan,nan,nan,nan,0,75033.8222345,nan,nan,nan,0,,nan,nan,nan,nan,nan,75033.8222345,200.0,75033.7821,1,0.040152100002160296,38.376017,-79.607872,FAIL,0,,0,,0,INIT,0,0,0,0,0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0
