host_time,monotonic_s,state,motor_enabled,diag_state,guidance_reason,fail_reason,confidence_scale,guidance_mode,control_mode,nominal,degraded,valid,gps_lat,gps_lon,gps_course_deg,gps_speed_mps,gps_pos_health,gps_motion_health,gps_pos_age_s,gps_motion_age_s,imu_gyrz_deg_s,imu_health,imu_age_s,baro_alt_m,baro_health,baro_age_s,start_lat,start_lon,target_lat,target_lon,pos_N_m,pos_E_m,target_N_m,target_E_m,carrot_N_m,carrot_E_m,carrot_lat,carrot_lon,crossTrack_m,alongTrack_m,L1_distance_m,nu_deg,nu1_deg,nu2_deg,current_heading_deg,lat_acc_cmd_mps2,angular_velocity_cmd_deg_s,angular_velocity_meas_deg_s,angular_velocity_error_deg_s,delta_ff_deg,delta_pid_deg,delta_arm_deg,left_angle_deg,right_angle_deg,left_pw_us,right_pw_us,saturated,sensor_valid,guidance_command_age_s,fallback_mode
2026-05-23T14:05:53.994,14961.908475,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,,0,,,0,,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.045,14961.960806,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14961.9608,-5.000,0,0.1017,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.096,14962.011537,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.0115,-5.000,0,0.1524,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.147,14962.062655,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.0627,-5.000,0,0.1027,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.198,14962.113198,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.1132,-5.000,0,0.1532,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.249,14962.163945,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.1639,-5.000,0,0.1032,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.299,14962.214530,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.2145,-5.000,0,0.1538,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.350,14962.265255,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.2653,-5.000,0,0.1043,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.400,14962.315738,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.3157,-5.000,0,0.1547,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-23T14:05:54.451,14962.366444,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,14962.3664,-5.000,0,0.1050,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
