2025-11-16 01:03:01.462,0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.02, -0.01, -0.02
2025-11-16 01:03:01.485,0.0000, 0.0000, 0.0000, 4.74, 4.45, 7.10, -104.69, -64.88, -72.75, -0.00, -0.00, -0.03
2025-11-16 01:03:01.507,0.0000, 0.0000, 0.0000, 4.64, 4.37, 6.93, -104.69, -64.88, -72.75, 0.08, -0.02, 0.01
2025-11-16 01:03:01.527,0.0172, -0.0057, 89.9885, 4.65, 4.40, 6.93, -104.69, -64.88, -72.75, 0.11, 0.00, 0.03
2025-11-16 01:03:01.552,6.5058, -5.9517, 142.2281, 4.67, 4.37, 6.89, -104.69, -64.88, -72.75, 0.03, 0.00, 0.02
2025-11-16 01:03:01.572,12.9938, -11.9002, 212.4710, 4.70, 4.33, 6.91, -104.69, -64.88, -71.25, -0.07, 0.01, 0.00
2025-11-16 01:03:01.592,19.4646, -17.8487, 282.7139, 4.69, 4.32, 6.93, -104.69, -64.88, -71.25, -0.12, 0.02, -0.02
2025-11-16 01:03:01.612,25.9108, -23.7918, 352.9533, 4.71, 4.31, 6.98, -105.06, -65.56, -71.56, -0.08, 0.00, -0.01
2025-11-16 01:03:01.634,32.3339, -29.7291, 351.1998, 4.71, 4.33, 6.98, -105.06, -65.56, -71.56, 0.04, -0.00, 0.01
2025-11-16 01:03:01.654,32.2903, -29.7252, 351.2036, 4.63, 4.36, 6.93, -105.06, -65.56, -71.56, 0.08, -0.02, -0.01
2025-11-16 01:03:01.674,32.2699, -29.7225, 351.1953, 4.60, 4.37, 6.93, -104.69, -64.06, -71.56, 0.04, -0.00, -0.04
2025-11-16 01:03:01.695,32.2791, -29.7172, 351.1769, 4.60, 4.43, 6.90, -104.69, -64.06, -71.56, -0.03, -0.03, -0.05
2025-11-16 01:03:01.714,32.3109, -29.7146, 351.1513, 4.61, 4.39, 6.92, -104.25, -64.06, -70.88, -0.02, -0.01, 0.01
2025-11-16 01:03:01.734,32.3503, -29.7159, 351.1349, 4.71, 4.33, 6.94, -104.25, -64.06, -70.88, 0.02, 0.03, 0.08
2025-11-16 01:03:01.753,32.3700, -29.7212, 351.1374, 4.74, 4.27, 6.95, -104.25, -64.06, -70.88, -0.02, 0.03, 0.09
2025-11-16 01:03:01.773,32.3491, -29.7252, 351.1693, 4.78, 4.27, 6.95, -104.69, -64.06, -71.69, -0.06, 0.02, 0.01
2025-11-16 01:03:01.793,32.3050, -29.7318, 351.2075, 4.71, 4.32, 6.95, -104.69, -64.06, -71.69, -0.06, -0.02, -0.08
2025-11-16 01:03:01.811,32.2644, -29.7344, 351.2311, 4.70, 4.37, 6.96, -104.69, -64.50, -72.38, 0.00, -0.05, -0.12
2025-11-16 01:03:01.831,32.2458, -29.7318, 351.2179, 4.58, 4.45, 6.92, -104.69, -64.50, -72.38, 0.09, -0.03, -0.06
2025-11-16 01:03:01.852,32.2598, -29.7199, 351.1710, 4.58, 4.43, 6.89, -104.69, -64.50, -72.38, 0.09, 0.01, 0.04
2025-11-16 01:03:01.869,32.3061, -29.7133, 351.1181, 4.63, 4.41, 6.91, -105.38, -64.50, -71.69, 0.04, 0.03, 0.13
2025-11-16 01:03:01.890,32.3529, -29.7159, 351.1013, 4.70, 4.31, 6.89, -105.38, -64.50, -71.69, -0.01, 0.04, 0.11
2025-11-16 01:03:01.907,32.3764, -29.7291, 351.1367, 4.79, 4.24, 6.90, -105.38, -64.50, -71.69, -0.04, 0.03, 0.07
2025-11-16 01:03:01.928,32.3630, -29.7423, 351.1976, 4.75, 4.26, 6.91, -104.69, -65.25, -70.50, -0.10, 0.00, -0.05
2025-11-16 01:03:01.948,32.3121, -29.7489, 351.2420, 4.64, 4.35, 6.95, -104.69, -65.25, -70.50, -0.12, -0.02, -0.13
2025-11-16 01:03:01.966,32.2514, -29.7384, 351.2328, 4.61, 4.44, 6.98, -105.38, -64.06, -70.88, -0.06, -0.06, -0.14
2025-11-16 01:03:01.985,32.2234, -29.7199, 351.1750, 4.58, 4.45, 6.91, -105.38, -64.06, -70.88, 0.09, -0.02, -0.02
2025-11-16 01:03:02.003,32.2452, -29.7041, 351.1072, 4.63, 4.45, 6.92, -105.38, -64.06, -70.88, 0.18, 0.01, 0.10
2025-11-16 01:03:02.021,32.2945, -29.6961, 351.0610, 4.67, 4.31, 6.88, -104.25, -64.06, -71.25, 0.12, 0.04, 0.15
2025-11-16 01:03:02.042,32.3551, -29.7093, 351.0792, 4.71, 4.27, 6.86, -104.25, -64.06, -71.25, -0.04, 0.02, 0.09
2025-11-16 01:03:02.060,32.3910, -29.7370, 351.1495, 4.83, 4.26, 6.92, -104.38, -64.06, -72.06, -0.14, 0.02, -0.04
2025-11-16 01:03:02.081,32.3780, -29.7542, 351.2218, 4.78, 4.31, 6.91, -104.38, -64.06, -72.06, -0.16, -0.02, -0.14
