2025-11-16 01:12:16.066,1020.93, 26.34, -63.44
2025-11-16 01:12:16.241,1020.92, 26.37, -63.35
2025-11-16 01:12:16.414,1020.90, 26.39, -63.35
2025-11-16 01:12:16.587,1020.87, 26.39, -63.22
2025-11-16 01:12:16.761,1020.92, 26.39, -63.49
2025-11-16 01:12:16.937,1020.91, 26.41, -63.47
2025-11-16 01:12:17.110,1020.91, 26.40, -63.25
2025-11-16 01:12:17.281,1020.95, 26.41, -63.22
2025-11-16 01:12:17.458,1020.86, 26.40, -63.40
2025-11-16 01:13:35.844,1020.93, 26.15, -63.30
2025-11-16 01:13:36.019,1020.86, 26.20, -63.52
2025-11-16 01:13:36.194,1020.89, 26.21, -63.19
2025-11-16 01:13:36.367,1020.90, 26.22, -63.24
2025-11-16 01:13:36.540,1020.88, 26.22, -63.40
2025-11-16 01:13:36.717,1020.89, 26.21, -63.13
2025-11-16 01:13:36.890,1020.91, 26.23, -63.08
2025-11-16 01:13:37.063,1020.88, 26.23, -63.36
2025-11-16 01:20:58.832,1020.88, 25.41, -63.33
2025-11-16 01:20:59.005,1020.87, 25.46, -63.26
2025-11-16 01:20:59.181,1020.87, 25.47, -63.15
2025-11-16 01:20:59.351,1020.89, 25.48, -63.02
2025-11-16 01:20:59.522,1020.88, 25.48, -63.30
2025-11-16 01:20:59.695,1020.88, 25.48, -63.21
2025-11-16 01:20:59.872,1020.87, 25.48, -63.00
2025-11-16 01:21:00.043,1020.87, 25.48, -63.19
2025-11-16 01:21:00.225,1020.91, 25.49, -63.23
2025-11-16 01:21:00.399,1020.87, 25.47, -63.16
2025-11-16 01:21:00.577,1020.89, 25.48, -63.14
2025-11-16 01:21:00.755,1020.87, 25.48, -63.23
2025-11-16 01:21:00.928,1020.86, 25.49, -63.23
2025-11-16 01:21:01.104,1020.86, 25.48, -63.05
2025-11-16 01:21:01.279,1020.88, 25.48, -63.19
2025-11-16 01:30:44.814,1020.86, 25.09, -63.16
2025-11-16 01:30:44.989,1020.86, 25.14, -63.20
2025-11-16 01:30:45.162,1020.85, 25.15, -63.11
2025-11-16 01:30:45.336,1020.83, 25.15, -62.98
2025-11-16 01:30:45.510,1020.87, 25.15, -63.12
2025-11-16 01:30:45.686,1020.85, 25.16, -63.17
2025-11-16 01:30:45.858,1020.87, 25.15, -62.92
2025-11-16 01:30:46.030,1020.83, 25.16, -62.94
2025-11-16 01:30:46.204,1020.85, 25.16, -63.33
2025-11-16 01:30:46.376,1020.83, 25.16, -63.13
2025-11-16 01:30:46.551,1020.85, 25.16, -63.01
2025-11-16 01:30:46.726,1020.85, 25.16, -63.15
2025-11-16 01:30:46.901,1020.88, 25.16, -63.10
2025-11-16 01:30:47.075,1020.86, 25.16, -62.81
2025-11-16 01:30:47.252,1020.84, 25.15, -63.19
2025-11-16 01:30:47.427,1020.87, 25.17, -62.90
2025-11-16 01:30:47.603,1020.86, 25.16, -63.27
2025-11-16 01:30:47.775,1020.85, 25.16, -63.19
2025-11-16 01:30:47.951,1020.86, 25.16, -63.08
2025-11-16 01:30:48.127,1020.87, 25.16, -63.01
2025-11-16 01:38:42.382,1020.93, 24.82, -63.54
2025-11-16 01:38:42.556,1020.91, 24.87, -63.52
2025-11-16 01:38:42.731,1020.93, 24.88, -63.56
2025-11-16 01:38:42.906,1020.93, 24.89, -63.52
2025-11-16 01:38:43.080,1020.92, 24.89, -63.61
2025-11-16 01:38:43.252,1020.91, 24.90, -63.61
2025-11-16 01:38:43.429,1020.92, 24.90, -63.47
2025-11-16 01:38:43.611,1020.94, 24.90, -63.65
2025-11-16 01:38:43.782,1020.94, 24.90, -63.61
2025-11-16 01:38:43.956,1020.94, 24.90, -63.48
2025-11-16 01:38:44.131,1020.92, 24.91, -63.69
2025-11-16 01:38:44.307,1020.94, 24.91, -63.55
2025-11-16 01:38:44.480,1020.95, 24.90, -63.62
2025-11-16 01:38:44.657,1020.93, 24.91, -63.73
2025-11-16 01:38:44.833,1020.94, 24.91, -63.66
2025-11-16 01:38:45.006,1020.89, 24.91, -63.59
2025-11-16 01:38:45.181,1020.90, 24.91, -63.78
2025-11-16 01:38:45.355,1020.92, 24.92, -63.42
2025-11-16 01:38:45.534,1020.92, 24.92, -63.55
2025-11-16 01:38:45.709,1020.95, 24.91, -63.65
2025-11-16 01:38:45.882,1020.90, 24.91, -63.44
2025-11-16 01:38:46.058,1020.92, 24.92, -63.39
2025-11-16 01:38:46.231,1020.90, 24.92, -63.51
2025-11-16 01:38:46.403,1020.92, 24.92, -63.74
2025-11-16 01:38:46.582,1020.93, 24.92, -63.55
2025-11-16 01:38:46.759,1020.92, 24.92, -63.51
2025-11-16 01:38:46.933,1020.93, 24.92, -63.51
2025-11-16 01:38:47.106,1020.97, 24.92, -63.37
2025-11-16 01:38:47.284,1020.92, 24.92, -63.57
2025-11-16 01:38:47.458,1020.92, 24.92, -63.53
2025-11-16 01:38:47.635,1020.91, 24.92, -63.56
2025-11-16 01:38:47.810,1020.92, 24.91, -63.33
2025-11-16 01:38:47.984,1020.93, 24.92, -63.63
2025-11-16 01:42:39.292,1020.89, 24.73, -63.49
2025-11-16 01:42:39.466,1020.91, 24.78, -63.45
2025-11-16 01:42:39.640,1020.90, 24.80, -63.27
2025-11-16 01:42:39.813,1020.86, 24.80, -63.01
2025-11-16 01:42:39.988,1020.90, 24.81, -63.17
2025-11-16 01:42:40.157,1020.89, 24.81, -63.24
2025-11-16 01:42:40.339,1020.88, 24.81, -63.42
2025-11-16 01:42:40.518,1020.88, 24.81, -63.14
2025-11-16 01:42:40.693,1020.88, 24.81, -63.19
2025-11-16 01:42:40.873,1020.86, 24.82, -63.28
2025-11-16 01:42:41.052,1020.89, 24.82, -63.42
2025-11-16 01:42:41.235,1020.90, 24.81, -63.28
2025-11-16 01:42:41.408,1020.88, 24.81, -63.49
2025-11-16 01:42:41.586,1020.92, 24.82, -63.22
2025-11-16 01:42:41.758,1020.90, 24.82, -63.15
2025-11-16 01:42:41.933,1020.87, 24.82, -63.27
2025-11-16 01:42:42.108,1020.90, 24.82, -63.27
2025-11-16 01:42:42.290,1020.91, 24.82, -63.27
2025-11-16 01:42:42.465,1020.90, 24.82, -63.18
2025-11-16 01:42:42.639,1020.89, 24.82, -63.20
2025-11-16 01:42:42.814,1020.85, 24.82, -63.13
2025-11-16 01:42:42.986,1020.89, 24.83, -63.11
2025-11-16 01:42:43.161,1020.89, 24.82, -63.11
2025-11-16 01:42:43.337,1020.88, 24.82, -63.43
2025-11-16 01:42:43.512,1020.88, 24.83, -63.36
2025-11-16 01:42:43.686,1020.92, 24.83, -63.27
2025-11-16 01:42:43.863,1020.90, 24.83, -63.11
2025-11-16 01:42:44.036,1020.90, 24.83, -63.32
2025-11-16 01:42:44.216,1020.90, 24.83, -63.11
2025-11-16 01:42:44.394,1020.87, 24.83, -63.39
2025-11-16 01:42:44.570,1020.89, 24.83, -63.39
2025-11-16 01:42:44.746,1020.90, 24.83, -63.23
2025-11-16 01:42:44.916,1020.89, 24.83, -63.23
2025-11-16 01:42:45.093,1020.87, 24.83, -63.14
2025-11-16 01:48:52.336,1020.91, 24.78, -63.41
2025-11-16 01:48:52.509,1020.88, 24.83, -63.09
2025-11-16 01:48:52.683,1020.85, 24.85, -63.13
2025-11-16 01:48:52.856,1020.86, 24.85, -63.09
2025-11-16 01:48:53.026,1020.87, 24.86, -63.13
2025-11-16 01:48:53.197,1020.88, 24.86, -63.11
2025-11-16 01:48:53.370,1020.86, 24.86, -63.25
2025-11-16 01:48:53.544,1020.86, 24.87, -63.21
2025-11-16 01:48:53.722,1020.86, 24.87, -63.21
2025-11-16 01:48:53.897,1020.86, 24.87, -63.00
2025-11-16 01:48:54.076,1020.87, 24.87, -63.19
2025-11-16 01:48:54.258,1020.88, 24.86, -63.05
2025-11-16 01:48:54.431,1020.89, 24.87, -63.16
2025-11-16 01:48:54.606,1020.87, 24.87, -63.05
2025-11-16 01:48:54.781,1020.88, 24.87, -63.12
2025-11-16 01:48:54.952,1020.87, 24.87, -63.23
2025-11-16 01:48:55.128,1020.88, 24.87, -63.05
2025-11-16 01:48:55.306,1020.85, 24.88, -63.03
2025-11-16 01:48:55.481,1020.89, 24.87, -62.90
2025-11-16 01:48:55.657,1020.90, 24.88, -63.17
2025-11-16 01:48:55.836,1020.85, 24.87, -63.14
2025-11-16 01:48:56.014,1020.87, 24.87, -63.21
2025-11-16 01:48:56.184,1020.87, 24.88, -62.94
2025-11-16 01:48:56.357,1020.86, 24.88, -63.13
2025-11-16 01:48:56.531,1020.87, 24.88, -63.17
2025-11-16 01:48:56.706,1020.88, 24.89, -63.17
2025-11-16 01:48:56.884,1020.86, 24.88, -63.08
2025-11-16 01:48:57.059,1020.89, 24.88, -63.24
2025-11-16 01:48:57.231,1020.89, 24.88, -63.26
2025-11-16 01:48:57.410,1020.88, 24.88, -62.99
2025-11-16 01:48:57.587,1020.87, 24.89, -63.33
2025-11-16 01:48:57.766,1020.86, 24.88, -63.22
2025-11-16 01:48:57.943,1020.88, 24.88, -63.17
2025-11-16 01:48:58.125,1020.89, 24.89, -62.97
2025-11-16 01:48:58.304,1020.87, 24.89, -63.22
2025-11-16 01:48:58.480,1020.87, 24.89, -63.24
2025-11-16 01:48:58.654,1020.85, 24.89, -63.11
2025-11-16 01:48:58.831,1020.86, 24.89, -63.11
2025-11-16 01:48:59.005,1020.86, 24.88, -63.15
2025-11-16 01:48:59.174,1020.89, 24.89, -63.07
2025-11-16 01:48:59.353,1020.87, 24.89, -63.15
2025-11-16 01:48:59.524,1020.88, 24.90, -62.97
2025-11-16 01:48:59.705,1020.85, 24.89, -63.11
2025-11-16 01:48:59.879,1020.88, 24.89, -63.36
