timestamp,sender_app,sender_name,receiver_app,receiver_name,msg_id,data
2026-05-24T16:00:16.336,17,Electro,12,Comm,1701201,"0.0,0.0,0.0"
2026-05-24T16:00:17.334,17,Electro,12,Comm,1701201,"0.0,0.3887176513671875,0.0"
2026-05-24T16:00:18.335,17,Electro,12,Comm,1701201,"3.7575195312500003,0.3629589080810547,1.26678466796875"
2026-05-24T16:00:19.335,17,Electro,12,Comm,1701201,"7.5150390625000005,0.3372001647949219,2.25042724609375"
2026-05-24T16:00:20.335,17,Electro,12,Comm,1701201,"7.523144531250001,0.3180217742919922,2.095001220703125"
2026-05-24T16:00:21.336,17,Electro,12,Comm,1701201,"7.53125,0.2988433837890625,1.9395751953125"
2026-05-24T16:00:22.336,17,Electro,12,Comm,1701201,"7.544140625000001,0.27484893798828125,2.0731201171875"
2026-05-24T16:00:23.336,17,Electro,12,Comm,1701201,"7.546875,0.2570152282714844,1.9395751953125"
2026-05-24T16:00:24.336,17,Electro,12,Comm,1701201,"7.5531250000000005,0.24749755859375,1.86920166015625"
2026-05-24T16:00:25.336,17,Electro,12,Comm,1701201,"7.5531250000000005,0.24749755859375,1.86920166015625"
2026-05-24T16:00:26.337,17,Electro,12,Comm,1701201,"7.556835937500001,0.24654388427734375,1.863037109375"
2026-05-24T16:00:27.337,17,Electro,12,Comm,1701201,"7.556835937500001,0.23782730102539062,1.79766845703125"
2026-05-24T16:00:28.337,17,Electro,12,Comm,1701201,"7.557421875,0.23992538452148438,1.8137207031250002"
2026-05-24T16:00:29.338,17,Electro,12,Comm,1701201,"7.557421875,0.24484634399414062,1.85076904296875"
2026-05-24T16:00:30.338,17,Electro,12,Comm,1701201,"7.5589843750000005,0.23992538452148438,1.8137207031250002"
2026-05-24T16:00:31.338,17,Electro,12,Comm,1701201,"7.5589843750000005,0.23782730102539062,1.79766845703125"
2026-05-24T16:00:32.339,17,Electro,12,Comm,1701201,"7.5589843750000005,0.23992538452148438,1.8137207031250002"
