timestamp,range_mm_raw
2026-05-24T16:00:16.898,50.0
2026-05-24T16:00:17.002,50.0
2026-05-24T16:00:17.105,40.0
2026-05-24T16:00:17.209,40.0
2026-05-24T16:00:17.313,40.0
2026-05-24T16:00:17.417,40.0
2026-05-24T16:00:17.521,50.0
2026-05-24T16:00:17.625,50.0
2026-05-24T16:00:17.729,50.0
2026-05-24T16:00:17.833,40.0
2026-05-24T16:00:17.937,50.0
2026-05-24T16:00:18.041,60.0
2026-05-24T16:00:18.144,50.0
2026-05-24T16:00:18.249,50.0
2026-05-24T16:00:18.353,50.0
2026-05-24T16:00:18.456,50.0
2026-05-24T16:00:18.560,50.0
2026-05-24T16:00:18.664,50.0
2026-05-24T16:00:18.768,50.0
2026-05-24T16:00:18.872,50.0
2026-05-24T16:00:18.976,50.0
2026-05-24T16:00:19.080,50.0
2026-05-24T16:00:19.184,50.0
2026-05-24T16:00:19.288,40.0
2026-05-24T16:00:19.392,40.0
2026-05-24T16:00:19.495,40.0
2026-05-24T16:00:19.599,40.0
2026-05-24T16:00:19.702,40.0
2026-05-24T16:00:19.806,50.0
2026-05-24T16:00:19.926,50.0
2026-05-24T16:00:20.030,50.0
2026-05-24T16:00:20.133,50.0
2026-05-24T16:00:20.237,50.0
2026-05-24T16:00:20.340,40.0
2026-05-24T16:00:20.444,40.0
2026-05-24T16:00:20.548,50.0
2026-05-24T16:00:20.651,50.0
2026-05-24T16:00:20.754,50.0
2026-05-24T16:00:20.858,40.0
2026-05-24T16:00:20.962,50.0
2026-05-24T16:00:21.065,50.0
2026-05-24T16:00:21.169,40.0
2026-05-24T16:00:21.272,50.0
2026-05-24T16:00:21.376,50.0
2026-05-24T16:00:21.496,50.0
2026-05-24T16:00:21.600,50.0
2026-05-24T16:00:21.703,50.0
2026-05-24T16:00:21.808,50.0
2026-05-24T16:00:21.911,50.0
2026-05-24T16:00:22.015,50.0
2026-05-24T16:00:22.118,50.0
2026-05-24T16:00:22.222,50.0
2026-05-24T16:00:22.325,50.0
2026-05-24T16:00:22.429,50.0
2026-05-24T16:00:22.533,50.0
2026-05-24T16:00:22.637,60.0
2026-05-24T16:00:22.740,50.0
2026-05-24T16:00:22.844,50.0
2026-05-24T16:00:22.947,50.0
