host_time,team_id,time,packet_count,mode,state,altitude_m,temperature_c,pressure_hpa,voltage_v,current_a,power_w,gyro_roll,gyro_pitch,gyro_yaw,acc_roll,acc_pitch,acc_yaw,mag_roll,mag_pitch,mag_yaw,gps_time,gps_alt,gps_lat,gps_lon,gps_sats,distance_cm,cmd_echo,filtered_roll,filtered_pitch,filtered_yaw,start_lat,start_lon,target_lat,target_lon,carrot_lat,carrot_lon,current_heading_deg,desired_heading_deg,left_pulse_us,right_pulse_us,guidance_state,raw
2026-05-06T03:39:40.478,1070,03:39:40,7,F,0,25.07,34.02,1010.21,7.350,0.750,5.512,-0.112,-0.112,-0.236,-8.809,4.457,0.719,53.273,-31.828,-24.871,000000,-17.00,37.560000,126.930000,0,2010.0,,80.697,62.839,17.471,,,,,,,16.54,,1266,1833,IDLE,"$1070,03:39:40,7,F,0,25.07,34.02,1010.21,7.350,0.750,5.512,-0.112,-0.112,-0.236,-8.809,4.457,0.719,53.273,-31.828,-24.871,000000,-17.00,37.560000,126.930000,0,2010.0,,80.697,62.839,17.471,,,,,,,16.54,,1266,1833,IDLE"
2026-05-06T03:39:41.510,1070,03:39:41,8,F,0,25.36,34.03,1010.20,7.360,0.770,5.667,0.000,0.112,0.002,-8.770,4.496,0.719,53.113,-30.538,-24.227,000000,-17.00,37.560000,126.930000,0,2020.0,,80.785,62.846,16.124,,,,,,,15.93,,1266,1833,IDLE,"$1070,03:39:41,8,F,0,25.36,34.03,1010.20,7.360,0.770,5.667,0.000,0.112,0.002,-8.770,4.496,0.719,53.113,-30.538,-24.227,000000,-17.00,37.560000,126.930000,0,2020.0,,80.785,62.846,16.124,,,,,,,15.93,,1266,1833,IDLE"
2026-05-06T03:39:42.521,1070,03:39:42,9,F,0,25.16,34.02,1010.19,7.370,0.790,5.822,-0.112,0.000,-0.631,-8.809,4.457,0.719,53.585,-30.549,-24.343,000000,-17.00,37.560000,126.930000,0,2010.0,,80.776,62.827,15.851,,,,,,,15.83,,1266,1833,IDLE,"$1070,03:39:42,9,F,0,25.16,34.02,1010.19,7.370,0.790,5.822,-0.112,0.000,-0.631,-8.809,4.457,0.719,53.585,-30.549,-24.343,000000,-17.00,37.560000,126.930000,0,2010.0,,80.776,62.827,15.851,,,,,,,15.83,,1266,1833,IDLE"
2026-05-06T03:39:43.549,1070,03:39:43,10,F,0,24.95,34.02,1010.21,7.380,0.810,5.978,0.224,0.000,0.342,-8.770,4.496,0.719,53.739,-30.307,-23.311,000000,-17.00,37.560000,126.930000,0,2010.0,,80.789,62.818,15.816,,,,,,,15.81,,1266,1833,IDLE,"$1070,03:39:43,10,F,0,24.95,34.02,1010.21,7.380,0.810,5.978,0.224,0.000,0.342,-8.770,4.496,0.719,53.739,-30.307,-23.311,000000,-17.00,37.560000,126.930000,0,2010.0,,80.789,62.818,15.816,,,,,,,15.81,,1266,1833,IDLE"
2026-05-06T03:39:44.592,1070,03:39:44,11,F,0,25.50,34.03,1010.21,7.350,0.750,5.512,-0.112,-0.112,0.175,-8.727,4.535,0.754,52.938,-31.952,-24.817,000000,-17.00,37.560000,126.930000,0,2010.0,,80.814,62.817,15.807,,,,,,,15.80,,1266,1833,IDLE,"$1070,03:39:44,11,F,0,25.50,34.03,1010.21,7.350,0.750,5.512,-0.112,-0.112,0.175,-8.727,4.535,0.754,52.938,-31.952,-24.817,000000,-17.00,37.560000,126.930000,0,2010.0,,80.814,62.817,15.807,,,,,,,15.80,,1266,1833,IDLE"
2026-05-06T03:39:45.631,1070,03:39:45,12,F,0,25.62,34.04,1010.21,7.360,0.770,5.667,0.224,0.000,-0.193,-8.809,4.457,0.719,53.793,-31.057,-24.584,000000,-17.00,37.560000,126.930000,0,2010.0,,80.808,62.809,15.795,,,,,,,15.79,,1266,1833,IDLE,"$1070,03:39:45,12,F,0,25.62,34.04,1010.21,7.360,0.770,5.667,0.224,0.000,-0.193,-8.809,4.457,0.719,53.793,-31.057,-24.584,000000,-17.00,37.560000,126.930000,0,2010.0,,80.808,62.809,15.795,,,,,,,15.79,,1266,1833,IDLE"
2026-05-06T03:39:46.470,1070,03:39:46,13,F,0,25.23,34.05,1010.22,7.370,0.790,5.822,0.224,0.112,0.293,-8.809,4.457,0.719,53.097,-30.388,-23.261,000000,-17.00,37.560000,126.930000,0,2010.0,,80.804,62.832,15.781,,,,,,,15.77,,1266,1833,IDLE,"$1070,03:39:46,13,F,0,25.23,34.05,1010.22,7.370,0.790,5.822,0.224,0.112,0.293,-8.809,4.457,0.719,53.097,-30.388,-23.261,000000,-17.00,37.560000,126.930000,0,2010.0,,80.804,62.832,15.781,,,,,,,15.77,,1266,1833,IDLE"
2026-05-06T03:39:47.717,1070,03:39:47,14,A,0,25.21,34.05,1010.22,7.380,0.810,5.978,0.224,-0.112,-0.076,-8.809,4.457,0.719,53.032,-31.279,-26.100,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.839,62.833,15.780,,,,,,,15.78,,1266,1833,IDLE,"$1070,03:39:47,14,A,0,25.21,34.05,1010.22,7.380,0.810,5.978,0.224,-0.112,-0.076,-8.809,4.457,0.719,53.032,-31.279,-26.100,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.839,62.833,15.780,,,,,,,15.78,,1266,1833,IDLE"
2026-05-06T03:39:48.532,1070,03:39:48,15,A,0,25.41,34.05,1010.21,7.350,0.750,5.512,0.000,0.224,0.390,-8.770,4.496,0.754,52.586,-30.668,-25.156,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.872,62.842,15.762,,,,,,,15.76,,1266,1833,IDLE,"$1070,03:39:48,15,A,0,25.41,34.05,1010.21,7.350,0.750,5.512,0.000,0.224,0.390,-8.770,4.496,0.754,52.586,-30.668,-25.156,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.872,62.842,15.762,,,,,,,15.76,,1266,1833,IDLE"
2026-05-06T03:39:49.546,1070,03:39:49,16,A,0,25.44,34.04,1010.20,7.360,0.770,5.667,0.000,0.112,0.106,-8.809,4.457,0.719,54.332,-31.617,-23.733,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.807,62.804,15.772,,,,,,,15.76,,1266,1833,IDLE,"$1070,03:39:49,16,A,0,25.44,34.04,1010.20,7.360,0.770,5.667,0.000,0.112,0.106,-8.809,4.457,0.719,54.332,-31.617,-23.733,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.807,62.804,15.772,,,,,,,15.76,,1266,1833,IDLE"
2026-05-06T03:39:50.597,1070,03:39:50,17,A,0,25.41,34.05,1010.22,7.370,0.790,5.822,0.112,-0.112,-0.396,-8.809,4.457,0.719,53.698,-30.212,-24.128,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.824,62.806,15.745,,,,,,,15.74,,1266,1833,IDLE,"$1070,03:39:50,17,A,0,25.41,34.05,1010.22,7.370,0.790,5.822,0.112,-0.112,-0.396,-8.809,4.457,0.719,53.698,-30.212,-24.128,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ENABLE,80.824,62.806,15.745,,,,,,,15.74,,1266,1833,IDLE"
2026-05-06T03:39:51.624,1070,03:39:51,18,S,0,25.12,34.05,1010.21,7.380,0.810,5.978,0.000,0.448,0.487,-8.809,4.457,0.719,53.178,-30.982,-25.274,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.815,62.828,15.756,,,,,,,15.75,,1266,1833,IDLE,"$1070,03:39:51,18,S,0,25.12,34.05,1010.21,7.380,0.810,5.978,0.000,0.448,0.487,-8.809,4.457,0.719,53.178,-30.982,-25.274,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.815,62.828,15.756,,,,,,,15.75,,1266,1833,IDLE"
2026-05-06T03:39:52.681,1070,03:39:52,19,S,0,25.39,34.05,1010.23,7.350,0.750,5.512,0.112,0.000,0.580,-8.770,4.457,0.719,53.539,-30.443,-23.784,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.833,62.816,15.747,,,,,,,15.74,,1266,1833,IDLE,"$1070,03:39:52,19,S,0,25.39,34.05,1010.23,7.350,0.750,5.512,0.112,0.000,0.580,-8.770,4.457,0.719,53.539,-30.443,-23.784,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.833,62.816,15.747,,,,,,,15.74,,1266,1833,IDLE"
2026-05-06T03:39:53.706,1070,03:39:53,20,S,0,25.21,34.04,1010.22,7.360,0.770,5.667,0.000,0.224,0.361,-8.770,4.457,0.719,52.824,-30.107,-23.649,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.855,62.825,15.735,,,,,,,15.73,,1266,1833,IDLE,"$1070,03:39:53,20,S,0,25.21,34.04,1010.22,7.360,0.770,5.667,0.000,0.224,0.361,-8.770,4.457,0.719,52.824,-30.107,-23.649,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.855,62.825,15.735,,,,,,,15.73,,1266,1833,IDLE"
2026-05-06T03:39:54.538,1070,03:39:54,21,S,0,25.53,34.04,1010.21,7.370,0.790,5.822,-0.336,0.000,0.163,-8.809,4.457,0.719,52.931,-30.959,-25.221,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.839,62.817,15.730,,,,,,,15.73,,1266,1833,IDLE,"$1070,03:39:54,21,S,0,25.53,34.04,1010.21,7.370,0.790,5.822,-0.336,0.000,0.163,-8.809,4.457,0.719,52.931,-30.959,-25.221,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.839,62.817,15.730,,,,,,,15.73,,1266,1833,IDLE"
2026-05-06T03:39:55.571,1070,03:39:55,22,S,0,25.09,34.05,1010.20,7.380,0.810,5.978,0.112,0.224,0.030,-8.770,4.457,0.719,53.099,-30.302,-24.027,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.873,62.834,15.726,,,,,,,15.72,,1266,1833,IDLE,"$1070,03:39:55,22,S,0,25.09,34.05,1010.20,7.380,0.810,5.978,0.112,0.224,0.030,-8.770,4.457,0.719,53.099,-30.302,-24.027,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.873,62.834,15.726,,,,,,,15.72,,1266,1833,IDLE"
2026-05-06T03:39:56.588,1070,03:39:56,23,S,0,25.32,34.04,1010.17,7.350,0.750,5.512,0.336,0.000,0.511,-8.770,4.457,0.719,53.397,-30.936,-23.609,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.820,62.803,15.727,,,,,,,15.74,,1266,1833,IDLE,"$1070,03:39:56,23,S,0,25.32,34.04,1010.17,7.350,0.750,5.512,0.336,0.000,0.511,-8.770,4.457,0.719,53.397,-30.936,-23.609,000000,-17.00,37.560000,126.930000,0,2010.0,SIM;ACTIVATE,80.820,62.803,15.727,,,,,,,15.74,,1266,1833,IDLE"
2026-05-06T03:39:57.584,1070,03:39:57,24,S,0,25.21,34.04,1010.24,7.360,0.770,5.667,0.000,0.112,0.169,-8.809,4.457,0.719,53.325,-31.521,-25.384,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.865,62.819,15.741,,,,,,,15.75,,1266,1833,IDLE,"$1070,03:39:57,24,S,0,25.21,34.04,1010.24,7.360,0.770,5.667,0.000,0.112,0.169,-8.809,4.457,0.719,53.325,-31.521,-25.384,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.865,62.819,15.741,,,,,,,15.75,,1266,1833,IDLE"
2026-05-06T03:39:58.618,1070,03:39:58,25,S,0,25.21,34.06,1010.23,7.370,0.790,5.822,0.224,-0.112,0.194,-8.770,4.457,0.719,53.024,-31.054,-26.853,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.840,62.812,15.754,,,,,,,15.76,,1266,1833,IDLE,"$1070,03:39:58,25,S,0,25.21,34.06,1010.23,7.370,0.790,5.822,0.224,-0.112,0.194,-8.770,4.457,0.719,53.024,-31.054,-26.853,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.840,62.812,15.754,,,,,,,15.76,,1266,1833,IDLE"
2026-05-06T03:39:59.626,1070,03:39:59,26,S,0,25.53,34.05,1010.21,7.380,0.810,5.978,0.000,0.000,-0.061,-8.809,4.457,0.719,53.513,-30.341,-24.450,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.878,62.814,15.741,,,,,,,15.74,,1266,1833,IDLE,"$1070,03:39:59,26,S,0,25.53,34.05,1010.21,7.380,0.810,5.978,0.000,0.000,-0.061,-8.809,4.457,0.719,53.513,-30.341,-24.450,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.878,62.814,15.741,,,,,,,15.74,,1266,1833,IDLE"
2026-05-06T03:40:04.367,1070,03:40:00,27,S,0,25.39,34.04,1010.24,7.350,0.750,5.512,-0.336,-0.112,-0.113,-8.809,4.418,0.719,52.809,-31.460,-25.837,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.843,62.814,15.760,,,,,,,15.77,,1266,1833,IDLE,"$1070,03:40:00,27,S,0,25.39,34.04,1010.24,7.350,0.750,5.512,-0.336,-0.112,-0.113,-8.809,4.418,0.719,52.809,-31.460,-25.837,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.843,62.814,15.760,,,,,,,15.77,,1266,1833,IDLE"
2026-05-06T03:40:04.582,1070,03:40:01,28,S,0,24.91,34.05,1010.22,7.360,0.770,5.667,0.000,-0.112,0.731,-8.809,4.457,0.719,52.932,-31.169,-25.598,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.820,62.847,15.775,,,,,,,15.78,,1266,1833,IDLE,"$1070,03:40:01,28,S,0,24.91,34.05,1010.22,7.360,0.770,5.667,0.000,-0.112,0.731,-8.809,4.457,0.719,52.932,-31.169,-25.598,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.820,62.847,15.775,,,,,,,15.78,,1266,1833,IDLE"
2026-05-06T03:40:06.233,1070,03:40:02,29,S,0,25.44,34.06,1010.19,7.370,0.790,5.822,0.000,0.224,0.027,-8.809,4.457,0.719,53.500,-30.718,-25.186,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.845,62.806,15.770,,,,,,,15.76,,1266,1833,IDLE,"$1070,03:40:02,29,S,0,25.44,34.06,1010.19,7.370,0.790,5.822,0.000,0.224,0.027,-8.809,4.457,0.719,53.500,-30.718,-25.186,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.845,62.806,15.770,,,,,,,15.76,,1266,1833,IDLE"
2026-05-06T03:40:07.038,1070,03:40:03,30,S,0,25.32,34.06,1010.22,7.380,0.810,5.978,-0.112,-0.224,-0.384,-8.844,4.418,0.719,53.491,-31.544,-24.515,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.809,62.805,15.785,,,,,,,15.80,,1266,1833,IDLE,"$1070,03:40:03,30,S,0,25.32,34.06,1010.22,7.380,0.810,5.978,-0.112,-0.224,-0.384,-8.844,4.418,0.719,53.491,-31.544,-24.515,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.809,62.805,15.785,,,,,,,15.80,,1266,1833,IDLE"
2026-05-06T03:40:07.460,1070,03:40:04,31,S,0,25.05,34.06,1010.25,7.350,0.750,5.512,0.000,0.000,-0.531,-8.770,4.457,0.719,53.516,-29.555,-23.315,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.814,62.805,15.795,,,,,,,15.78,,1266,1833,IDLE,"$1070,03:40:04,31,S,0,25.05,34.06,1010.25,7.350,0.750,5.512,0.000,0.000,-0.531,-8.770,4.457,0.719,53.516,-29.555,-23.315,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.814,62.805,15.795,,,,,,,15.78,,1266,1833,IDLE"
2026-05-06T03:40:08.892,1070,03:40:05,32,S,0,25.53,34.06,1010.21,7.360,0.770,5.667,-0.112,0.112,0.186,-8.809,4.457,0.719,53.761,-30.974,-25.570,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.840,62.786,15.767,,,,,,,15.75,,1266,1833,IDLE,"$1070,03:40:05,32,S,0,25.53,34.06,1010.21,7.360,0.770,5.667,-0.112,0.112,0.186,-8.809,4.457,0.719,53.761,-30.974,-25.570,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.840,62.786,15.767,,,,,,,15.75,,1266,1833,IDLE"
2026-05-06T03:40:09.519,1070,03:40:06,33,S,0,25.23,34.06,1010.21,7.370,0.790,5.822,0.336,0.559,-0.089,-8.809,4.457,0.719,53.757,-31.029,-25.391,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.847,62.784,15.745,,,,,,,15.75,,1266,1833,IDLE,"$1070,03:40:06,33,S,0,25.23,34.06,1010.21,7.370,0.790,5.822,0.336,0.559,-0.089,-8.809,4.457,0.719,53.757,-31.029,-25.391,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.847,62.784,15.745,,,,,,,15.75,,1266,1833,IDLE"
2026-05-06T03:40:10.136,1070,03:40:07,34,S,0,25.44,34.06,1010.17,7.380,0.810,5.978,0.000,-0.112,-0.397,-8.809,4.418,0.719,53.153,-30.625,-23.210,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.777,62.793,15.773,,,,,,,15.78,,1266,1833,IDLE,"$1070,03:40:07,34,S,0,25.44,34.06,1010.17,7.380,0.810,5.978,0.000,-0.112,-0.397,-8.809,4.418,0.719,53.153,-30.625,-23.210,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.777,62.793,15.773,,,,,,,15.78,,1266,1833,IDLE"
2026-05-06T03:40:10.961,1070,03:40:08,35,S,0,25.26,34.06,1010.22,7.350,0.750,5.512,-0.112,0.224,-0.140,-8.770,4.457,0.719,53.234,-30.236,-24.989,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.850,62.826,15.754,,,,,,,15.73,,1266,1833,IDLE,"$1070,03:40:08,35,S,0,25.26,34.06,1010.22,7.350,0.750,5.512,-0.112,0.224,-0.140,-8.770,4.457,0.719,53.234,-30.236,-24.989,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.850,62.826,15.754,,,,,,,15.73,,1266,1833,IDLE"
2026-05-06T03:40:11.571,1070,03:40:09,36,S,0,25.26,34.06,1010.23,7.360,0.770,5.667,0.112,-0.112,-0.058,-8.809,4.457,0.719,53.157,-30.480,-25.427,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.845,62.797,15.737,,,,,,,15.74,,1266,1833,IDLE,"$1070,03:40:09,36,S,0,25.26,34.06,1010.23,7.360,0.770,5.667,0.112,-0.112,-0.058,-8.809,4.457,0.719,53.157,-30.480,-25.427,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.845,62.797,15.737,,,,,,,15.74,,1266,1833,IDLE"
2026-05-06T03:40:12.183,1070,03:40:10,37,S,0,25.17,34.07,1010.19,7.370,0.790,5.822,0.000,0.000,-0.809,-8.770,4.496,0.754,53.275,-30.267,-23.001,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.837,62.802,15.733,,,,,,,15.74,,1266,1833,IDLE,"$1070,03:40:10,37,S,0,25.17,34.07,1010.19,7.370,0.790,5.822,0.000,0.000,-0.809,-8.770,4.496,0.754,53.275,-30.267,-23.001,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.837,62.802,15.733,,,,,,,15.74,,1266,1833,IDLE"
2026-05-06T03:40:12.809,1070,03:40:11,38,S,0,25.14,34.06,1010.20,7.380,0.810,5.978,0.336,0.000,0.294,-8.770,4.496,0.754,52.675,-30.752,-24.732,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.830,62.801,15.767,,,,,,,15.78,,1266,1833,IDLE,"$1070,03:40:11,38,S,0,25.14,34.06,1010.20,7.380,0.810,5.978,0.336,0.000,0.294,-8.770,4.496,0.754,52.675,-30.752,-24.732,000000,80.00,37.560000,126.930000,8,2010.0,SIMG;37.56;126.93;90;8.5,80.830,62.801,15.767,,,,,,,15.78,,1266,1833,IDLE"
