host_time,team_id,time,packet_count,mode,state,altitude_m,temperature_c,pressure_hpa,voltage_v,current_a,power_w,gyro_roll,gyro_pitch,gyro_yaw,acc_roll,acc_pitch,acc_yaw,mag_roll,mag_pitch,mag_yaw,gps_time,gps_alt,gps_lat,gps_lon,gps_sats,distance_cm,cmd_echo,filtered_roll,filtered_pitch,filtered_yaw,raw
2026-05-06T03:00:03.951,1070,03:00:04,1,F,0,0.00,0.00,0.00,7.400,0.800,5.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,5000.0,,0.000,0.000,0.000,"$1070,03:00:04,1,F,0,0.00,0.00,0.00,7.400,0.800,5.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,5000.0,,0.000,0.000,0.000"
2026-05-06T03:00:04.984,1070,03:00:05,2,F,0,0.00,20.00,1013.25,7.400,0.800,5.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,5000.0,,0.000,0.000,0.000,"$1070,03:00:05,2,F,0,0.00,20.00,1013.25,7.400,0.800,5.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,5000.0,,0.000,0.000,0.000"
2026-05-06T03:00:06.017,1070,03:00:06,3,F,0,25.17,29.34,1010.15,7.360,0.770,5.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,2610.0,,0.000,0.000,0.000,"$1070,03:00:06,3,F,0,25.17,29.34,1010.15,7.360,0.770,5.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,2610.0,,0.000,0.000,0.000"
2026-05-06T03:00:07.046,1070,03:00:07,4,F,0,25.18,29.36,1010.23,7.370,0.790,5.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,2610.0,,0.000,0.000,0.000,"$1070,03:00:07,4,F,0,25.18,29.36,1010.23,7.370,0.790,5.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,2610.0,,0.000,0.000,0.000"
2026-05-06T03:00:08.063,1070,03:00:08,5,F,0,25.40,29.36,1010.21,7.380,0.810,5.978,0.112,0.000,0.061,-0.168,-9.621,0.984,13.344,-10.922,-23.133,000000,-17.00,37.560000,126.930000,0,2610.0,,276.281,1.050,99.366,"$1070,03:00:08,5,F,0,25.40,29.36,1010.21,7.380,0.810,5.978,0.112,0.000,0.061,-0.168,-9.621,0.984,13.344,-10.922,-23.133,000000,-17.00,37.560000,126.930000,0,2610.0,,276.281,1.050,99.366"
2026-05-06T03:00:09.043,1070,03:00:09,6,F,0,25.71,29.37,1010.18,7.350,0.750,5.512,-0.112,0.112,-0.283,-0.207,-9.621,0.984,13.009,-10.781,-26.317,000000,-17.00,37.560000,126.930000,0,2610.0,,275.942,1.019,99.357,"$1070,03:00:09,6,F,0,25.71,29.37,1010.18,7.350,0.750,5.512,-0.112,0.112,-0.283,-0.207,-9.621,0.984,13.009,-10.781,-26.317,000000,-17.00,37.560000,126.930000,0,2610.0,,275.942,1.019,99.357"
2026-05-06T03:00:10.097,1070,03:00:10,7,F,0,25.31,29.37,1010.14,7.360,0.770,5.667,-0.112,0.112,-0.208,-0.168,-9.621,0.984,12.932,-10.232,-26.230,000000,-17.00,37.560000,126.930000,0,600.0,,275.835,1.052,99.358,"$1070,03:00:10,7,F,0,25.31,29.37,1010.14,7.360,0.770,5.667,-0.112,0.112,-0.208,-0.168,-9.621,0.984,12.932,-10.232,-26.230,000000,-17.00,37.560000,126.930000,0,600.0,,275.835,1.052,99.358"
2026-05-06T03:00:11.126,1070,03:00:11,8,F,0,25.33,29.38,1010.19,7.370,0.790,5.822,0.000,-0.112,0.007,-0.168,-9.617,0.945,13.778,-10.704,-23.192,000000,-17.00,37.560000,126.930000,0,380.0,,275.789,1.034,99.348,"$1070,03:00:11,8,F,0,25.33,29.38,1010.19,7.370,0.790,5.822,0.000,-0.112,0.007,-0.168,-9.617,0.945,13.778,-10.704,-23.192,000000,-17.00,37.560000,126.930000,0,380.0,,275.789,1.034,99.348"
2026-05-06T03:00:11.944,1070,03:00:12,9,F,0,25.53,29.38,1010.20,7.380,0.810,5.978,0.112,0.000,-0.103,-0.168,-9.621,0.984,13.575,-10.653,-23.298,000000,-17.00,37.560000,126.930000,0,300.0,,275.783,1.020,99.358,"$1070,03:00:12,9,F,0,25.53,29.38,1010.20,7.380,0.810,5.978,0.112,0.000,-0.103,-0.168,-9.621,0.984,13.575,-10.653,-23.298,000000,-17.00,37.560000,126.930000,0,300.0,,275.783,1.020,99.358"
