host_time,team_id,time,packet_count,mode,state,altitude_m,temperature_c,pressure_hpa,voltage_v,current_a,power_w,gyro_roll,gyro_pitch,gyro_yaw,acc_roll,acc_pitch,acc_yaw,mag_roll,mag_pitch,mag_yaw,gps_time,gps_alt,gps_lat,gps_lon,gps_sats,distance_cm,cmd_echo,filtered_roll,filtered_pitch,filtered_yaw,start_lat,start_lon,target_lat,target_lon,carrot_lat,carrot_lon,current_heading_deg,desired_heading_deg,left_pulse_us,right_pulse_us,guidance_state,raw
2026-05-06T03:09:00.639,1070,03:09:00,4,F,0,25.69,29.35,1010.12,7.350,0.750,5.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,2700.0,,0.000,0.000,0.000,,,,,,,,,,,,"$1070,03:09:00,4,F,0,25.69,29.35,1010.12,7.350,0.750,5.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.00,0.000000,0.000000,0,2700.0,,0.000,0.000,0.000"
2026-05-06T03:09:01.910,1070,03:09:01,5,F,0,25.96,29.35,1010.12,7.360,0.770,5.667,0.000,0.000,0.242,-0.168,-9.621,0.984,13.367,-11.320,-25.199,000000,-17.00,37.560000,126.930000,0,2700.0,,276.151,1.073,96.816,,,,,,,,,,,,"$1070,03:09:01,5,F,0,25.96,29.35,1010.12,7.360,0.770,5.667,0.000,0.000,0.242,-0.168,-9.621,0.984,13.367,-11.320,-25.199,000000,-17.00,37.560000,126.930000,0,2700.0,,276.151,1.073,96.816"
2026-05-06T03:09:02.734,1070,03:09:02,6,F,0,26.19,29.36,1010.08,7.370,0.790,5.822,0.000,0.112,0.302,-0.168,-9.621,0.984,13.041,-11.822,-24.242,000000,-17.00,37.560000,126.930000,0,2710.0,,275.876,1.050,99.080,,,,,,,,,,,,"$1070,03:09:02,6,F,0,26.19,29.36,1010.08,7.370,0.790,5.822,0.000,0.112,0.302,-0.168,-9.621,0.984,13.041,-11.822,-24.242,000000,-17.00,37.560000,126.930000,0,2710.0,,275.876,1.050,99.080"
2026-05-06T03:09:03.746,1070,03:09:03,7,F,0,26.41,29.37,1010.11,7.380,0.810,5.978,0.112,0.224,0.083,-0.168,-9.617,0.945,13.651,-10.840,-24.150,000000,-17.00,37.560000,126.930000,0,2710.0,,275.767,1.038,99.485,,,,,,,,,,,,"$1070,03:09:03,7,F,0,26.41,29.37,1010.11,7.380,0.810,5.978,0.112,0.224,0.083,-0.168,-9.617,0.945,13.651,-10.840,-24.150,000000,-17.00,37.560000,126.930000,0,2710.0,,275.767,1.038,99.485"
2026-05-06T03:09:04.792,1070,03:09:04,8,F,0,26.12,29.37,1010.10,7.350,0.750,5.512,0.000,0.000,-0.000,-0.168,-9.621,0.984,13.655,-11.493,-23.795,000000,-17.00,37.560000,126.930000,0,2710.0,,275.684,1.029,99.551,,,,,,,,,,,,"$1070,03:09:04,8,F,0,26.12,29.37,1010.10,7.350,0.750,5.512,0.000,0.000,-0.000,-0.168,-9.621,0.984,13.655,-11.493,-23.795,000000,-17.00,37.560000,126.930000,0,2710.0,,275.684,1.029,99.551"
2026-05-06T03:09:05.848,1070,03:09:05,9,F,0,26.03,29.37,1010.14,7.360,0.770,5.667,0.112,0.112,-0.072,-0.168,-9.617,0.945,13.909,-11.468,-24.905,000000,-17.00,37.560000,126.930000,0,2710.0,,275.757,1.020,99.584,,,,,,,,,,,,"$1070,03:09:05,9,F,0,26.03,29.37,1010.14,7.360,0.770,5.667,0.112,0.112,-0.072,-0.168,-9.617,0.945,13.909,-11.468,-24.905,000000,-17.00,37.560000,126.930000,0,2710.0,,275.757,1.020,99.584"
2026-05-06T03:09:06.854,1070,03:09:06,10,F,0,26.14,29.37,1010.09,7.370,0.790,5.822,-0.224,0.000,-0.160,-0.168,-9.621,0.984,12.858,-10.524,-24.375,000000,-17.00,37.560000,126.930000,0,2710.0,,275.757,1.057,99.590,,,,,,,,,,,,"$1070,03:09:06,10,F,0,26.14,29.37,1010.09,7.370,0.790,5.822,-0.224,0.000,-0.160,-0.168,-9.621,0.984,12.858,-10.524,-24.375,000000,-17.00,37.560000,126.930000,0,2710.0,,275.757,1.057,99.590"
2026-05-06T03:09:07.913,1070,03:09:07,11,F,0,26.44,29.37,1010.11,7.380,0.810,5.978,0.112,0.112,0.003,-0.168,-9.621,0.984,13.254,-10.861,-23.802,000000,-17.00,37.560000,126.930000,0,2710.0,,275.771,1.061,99.567,,,,,,,,,,,,"$1070,03:09:07,11,F,0,26.44,29.37,1010.11,7.380,0.810,5.978,0.112,0.112,0.003,-0.168,-9.621,0.984,13.254,-10.861,-23.802,000000,-17.00,37.560000,126.930000,0,2710.0,,275.771,1.061,99.567"
2026-05-06T03:09:08.722,1070,03:09:08,12,F,0,26.14,29.37,1010.07,7.350,0.750,5.512,0.000,0.224,-0.039,-0.168,-9.621,0.984,13.051,-11.218,-23.983,000000,-17.00,37.560000,126.930000,0,2710.0,,275.775,1.053,99.602,,,,,,,,,,,,"$1070,03:09:08,12,F,0,26.14,29.37,1010.07,7.350,0.750,5.512,0.000,0.224,-0.039,-0.168,-9.621,0.984,13.051,-11.218,-23.983,000000,-17.00,37.560000,126.930000,0,2710.0,,275.775,1.053,99.602"
2026-05-06T03:09:09.793,1070,03:09:09,13,F,0,26.03,29.38,1010.07,7.360,0.770,5.667,-0.224,0.000,0.057,-0.168,-9.621,0.984,13.594,-10.567,-25.299,000000,-17.00,37.560000,126.930000,0,2710.0,,275.758,1.034,99.598,,,,,,,,,,,,"$1070,03:09:09,13,F,0,26.03,29.38,1010.07,7.360,0.770,5.667,-0.224,0.000,0.057,-0.168,-9.621,0.984,13.594,-10.567,-25.299,000000,-17.00,37.560000,126.930000,0,2710.0,,275.758,1.034,99.598"
