host_time,team_id,time,packet_count,mode,state,altitude_m,temperature_c,pressure_hpa,voltage_v,current_a,power_w,gyro_roll,gyro_pitch,gyro_yaw,acc_roll,acc_pitch,acc_yaw,mag_roll,mag_pitch,mag_yaw,gps_time,gps_alt,gps_lat,gps_lon,gps_sats,distance_cm,cmd_echo,filtered_roll,filtered_pitch,filtered_yaw,start_lat,start_lon,target_lat,target_lon,carrot_lat,carrot_lon,current_heading_deg,desired_heading_deg,left_pulse_us,right_pulse_us,guidance_state,raw
2026-05-06T03:56:47.002,1070,03:56:47,5,F,0,25.47,33.81,1010.20,7.370,0.790,5.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE,"$1070,03:56:47,5,F,0,25.47,33.81,1010.20,7.370,0.790,5.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE"
2026-05-06T03:56:48.045,1070,03:56:48,6,F,0,25.71,33.82,1010.20,7.380,0.810,5.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE,"$1070,03:56:48,6,F,0,25.71,33.82,1010.20,7.380,0.810,5.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE"
2026-05-06T03:56:49.044,1070,03:56:49,7,F,0,25.71,33.82,1010.18,7.350,0.750,5.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE,"$1070,03:56:49,7,F,0,25.71,33.82,1010.18,7.350,0.750,5.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE"
2026-05-06T03:56:50.076,1070,03:56:50,8,F,0,25.83,33.82,1010.18,7.360,0.770,5.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE,"$1070,03:56:50,8,F,0,25.83,33.82,1010.18,7.360,0.770,5.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,0.00,,1266,1833,IDLE"
2026-05-06T03:56:51.087,1070,03:56:51,9,F,0,25.33,33.80,1010.21,7.370,0.790,5.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,171.75,,1266,1833,IDLE,"$1070,03:56:51,9,F,0,25.33,33.80,1010.21,7.370,0.790,5.822,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,000000,-17.00,37.560000,126.930000,0,5000.0,,0.000,0.000,0.000,,,,,,,171.75,,1266,1833,IDLE"
2026-05-06T03:56:52.143,1070,03:56:52,10,F,0,25.56,33.81,1010.17,7.380,0.810,5.978,0.112,0.336,-6.188,7.207,6.219,0.144,6.531,-29.438,-29.859,000000,-17.00,37.560000,126.930000,0,5000.0,,87.734,310.975,171.966,,,,,,,172.32,,1266,1833,IDLE,"$1070,03:56:52,10,F,0,25.56,33.81,1010.17,7.380,0.810,5.978,0.112,0.336,-6.188,7.207,6.219,0.144,6.531,-29.438,-29.859,000000,-17.00,37.560000,126.930000,0,5000.0,,87.734,310.975,171.966,,,,,,,172.32,,1266,1833,IDLE"
2026-05-06T03:56:53.140,1070,03:56:53,11,F,0,25.65,33.80,1010.16,7.350,0.750,5.512,0.000,0.000,-1.127,7.168,6.258,0.144,6.495,-29.552,-28.468,000000,-17.00,37.560000,126.930000,0,5000.0,,88.419,311.048,172.485,,,,,,,172.71,,1266,1833,IDLE,"$1070,03:56:53,11,F,0,25.65,33.80,1010.16,7.350,0.750,5.512,0.000,0.000,-1.127,7.168,6.258,0.144,6.495,-29.552,-28.468,000000,-17.00,37.560000,126.930000,0,5000.0,,88.419,311.048,172.485,,,,,,,172.71,,1266,1833,IDLE"
2026-05-06T03:56:54.163,1070,03:56:54,12,F,0,25.47,33.81,1010.17,7.360,0.770,5.667,0.000,0.000,-0.201,7.168,6.258,0.144,6.780,-28.938,-29.505,000000,-17.00,37.560000,126.930000,0,5000.0,,88.630,311.099,172.776,,,,,,,172.85,,1266,1833,IDLE,"$1070,03:56:54,12,F,0,25.47,33.81,1010.17,7.360,0.770,5.667,0.000,0.000,-0.201,7.168,6.258,0.144,6.780,-28.938,-29.505,000000,-17.00,37.560000,126.930000,0,5000.0,,88.630,311.099,172.776,,,,,,,172.85,,1266,1833,IDLE"
2026-05-06T03:57:03.769,1070,03:56:57,15,F,0,25.47,33.81,1010.17,7.350,0.750,5.512,11.974,6.490,20.570,0.117,2.582,-9.547,20.643,-36.509,32.357,000000,-17.00,37.560000,126.930000,0,5000.0,,164.788,358.784,191.322,,,,,,,187.53,,1266,1833,IDLE,"$1070,03:56:57,15,F,0,25.47,33.81,1010.17,7.350,0.750,5.512,11.974,6.490,20.570,0.117,2.582,-9.547,20.643,-36.509,32.357,000000,-17.00,37.560000,126.930000,0,5000.0,,164.788,358.784,191.322,,,,,,,187.53,,1266,1833,IDLE"
2026-05-06T03:57:03.953,1070,03:56:58,16,F,0,25.56,33.81,1010.16,7.360,0.770,5.667,7.721,0.112,1.042,-0.457,0.816,-9.703,26.185,-32.608,36.026,000000,-17.00,37.560000,126.930000,0,5000.0,,174.141,1.009,185.055,,,,,,,185.66,,1266,1833,IDLE,"$1070,03:56:58,16,F,0,25.56,33.81,1010.16,7.360,0.770,5.667,7.721,0.112,1.042,-0.457,0.816,-9.703,26.185,-32.608,36.026,000000,-17.00,37.560000,126.930000,0,5000.0,,174.141,1.009,185.055,,,,,,,185.66,,1266,1833,IDLE"
