mode,K,tau,disturbance_dps,command_dps,final_yaw_rate_dps,final_error_dps,final_error_ratio,error_ratio_1s,response_time_63_s,max_abs_yaw_rate_dps,saturation_ratio,settling_time_s,diverged,opposite_sign,pass,fail_reason
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,-30.0,-34.975793773066044,4.975793773066044,0.1658597924355348,0.17365877221432152,0.2,35.21011250767514,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,-15.0,-19.935956224188153,4.935956224188153,0.3290637482792102,0.44126312995712574,0.15000000000000002,21.64025498334619,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,15.0,0.3693570451436389,14.630642954856361,0.9753761969904241,1.0079194558682334,nan,2.0568006404133996,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,30.0,12.236874293285208,17.763125706714792,0.5921041902238264,0.6017720526653009,nan,12.236874293285208,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.3,0.0,-30.0,-25.00053572886791,-4.999464271132091,0.16664880903773635,0.1977154853596377,0.45,25.01199197808942,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,0.0,-15.0,-10.158889276811792,-4.8411107231882085,0.3227407148792139,0.3229806241516175,0.6000000000000001,10.158889276811792,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,0.0,15.0,10.158889276811792,4.8411107231882085,0.3227407148792139,0.3229806241516175,0.6000000000000001,10.158889276811792,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,0.0,30.0,25.00053572886791,4.999464271132091,0.16664880903773635,0.1977154853596377,0.45,25.01199197808942,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,15.0,-30.0,-12.236874293285208,-17.763125706714792,0.5921041902238264,0.6017720526653009,nan,12.236874293285208,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.3,15.0,-15.0,-0.3693570451436389,-14.630642954856361,0.9753761969904241,1.0079194558682334,nan,2.0568006404133996,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.3,15.0,15.0,19.935956224188153,-4.935956224188153,0.3290637482792102,0.44126312995712574,0.15000000000000002,21.64025498334619,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,15.0,30.0,34.975793773066044,-4.975793773066044,0.1658597924355348,0.17365877221432152,0.2,35.21011250767514,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,-15.0,-30.0,-34.93121979586379,4.93121979586379,0.16437399319545964,0.10778226275797044,0.35000000000000003,35.64461598196423,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,-15.0,-15.0,-19.92602515249529,4.9260251524952885,0.32840167683301924,0.38972898439384596,0.25,21.542809786457923,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,-15.0,15.0,0.36935704498103683,14.630642955018963,0.9753761970012642,1.0327308444289345,nan,1.6342335612276397,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.5,-15.0,30.0,12.236874293039962,17.76312570696004,0.5921041902320013,0.6353573319448211,nan,12.236874293039962,0.0,nan,False,False,False,FINAL_ERROR
