mode,K,tau,disturbance_dps,command_dps,l1_yaw_rate_cmd_dps,l1_yaw_rate_limit_dps,ctrl_in_yaw_rate_limit_dps,ctrl_out_yaw_rate_limit_dps,limit_transferred,delta_ff_deg,expected_delta_ff_deg,ff_uses_mode_limit,ff_scale,final_yaw_rate_dps,final_error_dps,final_error_abs_limit_dps,final_error_ratio,max_abs_yaw_rate_dps,saturation_ratio,response_time_63_s,settling_time_s,diverged,opposite_sign,pass,fail_reason
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,-30.0,-29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,-59.800775541957435,-59.80077554195746,True,1.0,-34.975793773066044,4.975793773066044,60.0,0.1658597924355348,35.21011250767514,0.0,0.2,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,-15.0,-14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,-24.374999999999975,-24.375000000000004,True,1.0,-19.935956224188146,4.935956224188146,30.0,0.32906374827920976,21.640254983346182,0.0,0.15000000000000002,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,15.0,14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,24.374999999999975,24.375000000000004,True,1.0,0.36935704514363,14.63064295485637,30.0,0.9753761969904247,2.0568006404134067,0.0,nan,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,-15.0,30.0,29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,59.800775541957435,59.80077554195746,True,1.0,12.236874293285208,17.763125706714792,60.0,0.5921041902238264,12.236874293285208,0.0,nan,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,0.0,-30.0,-29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,-59.800775541957435,-59.80077554195746,True,1.0,-25.00053572886791,-4.999464271132091,60.0,0.16664880903773635,25.01199197808942,0.0,0.45,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,0.0,-15.0,-14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,-24.374999999999975,-24.375000000000004,True,1.0,-10.158889276811781,-4.841110723188219,30.0,0.32274071487921463,10.158889276811781,0.0,0.6000000000000001,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,0.0,15.0,14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,24.374999999999975,24.375000000000004,True,1.0,10.158889276811781,4.841110723188219,30.0,0.32274071487921463,10.158889276811781,0.0,0.6000000000000001,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,0.0,30.0,29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,59.800775541957435,59.80077554195746,True,1.0,25.00053572886791,4.999464271132091,60.0,0.16664880903773635,25.01199197808942,0.0,0.45,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,15.0,-30.0,-29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,-59.800775541957435,-59.80077554195746,True,1.0,-12.236874293285208,-17.763125706714792,60.0,0.5921041902238264,12.236874293285208,0.0,nan,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.3,15.0,-15.0,-14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,-24.374999999999975,-24.375000000000004,True,1.0,-0.36935704514363,-14.63064295485637,30.0,0.9753761969904247,2.0568006404134067,0.0,nan,nan,False,False,True,
